Source,Target
6055029634,8845298752
6055029634,9400404972
6055029634,0593077180
1788400259,1788400267
1788400259,1844039781
1788400259,0008275793
1788400259,1529319412
1788400259,1911130374
1788400259,1473629284
1784874027,1784708283
1784874027,1784703931
1784874027,0099590085
1784874027,1784874116
1784874027,1784872717
1784874027,1784872687
0316471917,1408893215
0316471917,1408898934
0316471917,1784708283
0316471917,0141980761
0316471917,0141985488
0316471917,9082942186
1899618538,0486247619
1899618538,1409584615
1899618538,1857028899
1899618538,1681195143
1899618538,1911130374
1899618538,000717604X
1847394574,1471139808
1847394574,1783964456
1847394574,1841150088
1847394574,1847374514
1847394574,1846144396
1847394574,1408870177
0099302780,0099590085
0099302780,0141977787
0099302780,0241958687
0099302780,1846684307
0099302780,0606412735
0099302780,0141024488
0674060326,0099498022
0674060326,0141034645
0674060326,0142001783
0674060326,0141033576
0674060326,0674955390
0674060326,0345408934
0141986301,0141039167
0141986301,0099478897
0141986301,1472959957
0141986301,014027605X
0141986301,1501152017
0141986301,1250200911
0099505576,0099460254
0099505576,014198077X
0099505576,1781254176
0099505576,1781256411
0099505576,1118091698
0099505576,0224100807
1847946240,1847941834
1847946240,0141033576
1847946240,0091906814
1847946240,147213995X
1847946240,0349411905
1847946240,0684858398
0753810255,0241957710
0753810255,014198077X
0753810255,0141015470
0753810255,0141979097
0753810255,014027605X
0753810255,0141034645
192805563X,1408898934
192805563X,1784708283
192805563X,1408893215
192805563X,178873100X
192805563X,3952506907
192805563X,0751536822
0470591005,1857028899
0470591005,0486247619
0470591005,000717604X
0470591005,0718185544
0470591005,0764541889
0470591005,1911130374
1784705438,0099575833
1784705438,0099572494
1784705438,1473675162
1784705438,0198847939
1784705438,1851685057
1784705438,1847085741
1501183915,1783963972
1501183915,1783962437
1501183915,1783964456
1501183915,1783963034
1501183915,1783964138
1501183915,1847394574
1846276616,0008351775
1846276616,1471159450
1846276616,0241226147
1846276616,1781318956
1846276616,071818114X
1846276616,1409345718
0099535475,1846688914
0099535475,0241956188
0099535475,0500292949
0099535475,0865477485
0099535475,0099572494
0099535475,0060533226
1912233770,1440340242
1912233770,1440354251
1912233770,0500293155
1912233770,0500519501
1912233770,1633224848
1912233770,0008275793
3548060412,147363749X
3548060412,1529387159
3548060412,2081427117
3548060412,1408898934
3548060412,9000351227
3548060412,8423429962
1408870177,1841150088
1408870177,1847394574
1408870177,1472271092
1408870177,1471139808
1408870177,0300194153
1408870177,0141990333
0140278168,0140146903
0140278168,0241954630
0140278168,0141979097
0140278168,0007267126
0140278168,0141029811
0140278168,1724334417
1695770528,1409584615
1695770528,1409584380
1695770528,1426333072
1695770528,0746089120
1695770528,0486798712
1695770528,1479217794
1981766197,1440340242
1981766197,1440354251
1981766197,1507208375
1981766197,0500519501
1981766197,1981041435
1981766197,1654118052
0231186029,0500295530
0231186029,0231171919
0231186029,0565094971
