Source,Target
1471146723,0753555646
1471146723,1913068064
1471146723,0312929870
1471146723,034914043X
1471146723,0552167835
1471146723,1534401199
1913068064,1471146723
1913068064,0753555646
1913068064,0312929870
1913068064,0552167835
1913068064,0062413414
1913068064,0753545594
034914043X,0753555646
034914043X,0747596492
034914043X,0552167835
034914043X,1471166783
034914043X,144476201X
034914043X,1471167941
0552167835,1471146723
0552167835,0753555646
0552167835,034914043X
0552167835,0312929870
0552167835,0062413414
0552167835,0553562835
0753555646,1471146723
0753555646,034914043X
0753555646,1922346063
0753555646,1541774167
0753555646,0552167835
0753555646,1072954354
0312929870,1471146723
0312929870,0553562835
0312929870,0552167835
0312929870,0753555646
0312929870,1913068064
0312929870,0062413414
1534401199,1471146723
1534401199,0552167835
1534401199,3898799921
1534401199,0312929870
1534401199,3836572230
1534401199,0789332558
0553562835,0312929870
0553562835,0552167835
0553562835,0062413414
0553562835,1422162672
0553562835,0786883561
0553562835,1844135845
1072954354,0753555646
1072954354,1922346063
1072954354,1541774167
1072954354,034914043X
1072954354,1973364700
1072954354,0571327672
1541774167,0753555646
1541774167,0141986069
1541774167,1328592812
1541774167,1944648453
1541774167,1072954354
1541774167,0552167835
0747596492,0060555661
0747596492,0753555646
0747596492,034914043X
0747596492,1118503252
0747596492,1118821157
0747596492,B086PRL7BH
1922346063,0753555646
1922346063,034914043X
1922346063,1072954354
1922346063,1541774167
1922346063,1523673869
1922346063,B087SGSRMX
0062413414,0552167835
0062413414,0753555646
0062413414,0747596492
0062413414,0312929870
0062413414,0553562835
0062413414,1913068064
144476201X,034914043X
144476201X,1408832062
144476201X,0753555646
144476201X,0753555204
144476201X,1070923400
144476201X,1471146723
0753545594,1471146723
0753545594,0552167835
0753545594,1913068064
0753545594,0312929870
0753545594,0062413414
0753545594,0552173436
1471166783,1471167941
1471166783,3836554410
1471166783,145493042X
1471166783,0715324535
1471166783,1471138801
1471166783,1947783734
0789332558,3836572230
0789332558,0500517282
0789332558,0008274797
0789332558,0500512159
0789332558,0847846601
0789332558,0847865789
1471167941,1471166783
1471167941,034914043X
1471167941,1494877066
1471167941,0306812835
1471167941,1471138801
1471167941,1982130423
3836572230,0008274797
3836572230,0789332558
3836572230,0847846601
3836572230,0500517282
3836572230,B083XVJCMK
3836572230,0847865789
3898799921,1471146723
3898799921,1534401199
3898799921,0753555646
3898799921,0312929870
3898799921,034914043X
3898799921,0552167835
0141986069,0141044241
0141986069,0141014636
0141986069,0141975873
0141986069,0141030909
0141986069,0198785038
0141986069,0141981806
0847865789,3836572230
0847865789,0008274797
0847865789,0500517282
0847865789,0847846601
0847865789,0847866696
0847865789,0789332558
1982130423,1471166783
1982130423,1471167941
1982130423,034914043X
1982130423,1471138801
1982130423,0671663232
1982130423,1501189018
1070923400,034914043X
