Source,Target
1684129036,1684128870
1684129036,1781576327
1684129036,1781575614
1684129036,1684120446
1684129036,1684123984
1684129036,1781576343
1684120446,1684128870
1684120446,1781575614
1684120446,1781576327
1684120446,1684129036
1684120446,1781576343
1684120446,8448022874
1781576327,1405279974
1781576327,1782216227
1781576327,1781575614
1781576327,1684129036
1781576327,1781576343
1781576327,1684120446
1684128870,1911641921
1684128870,1641522305
1684128870,1781575614
1684128870,1440595046
1684128870,1684126401
1684128870,1781576343
1781575614,1684128870
1781575614,1781576327
1781575614,1684129036
1781575614,1781576343
1781575614,1684120446
1781575614,1684126401
1684123984,1684128870
1684123984,1781576343
1684123984,1684126401
1684123984,B074BZSV6W
1684123984,B0774FL1CY
1684123984,1684129036
1781576343,1684128870
1781576343,1684126401
1781576343,1684123984
1781576343,1781575614
1781576343,1684124964
1781576343,1684129036
1684126401,1641522305
1684126401,B07MV6K9BR
1684126401,1684128870
1684126401,B079Z5CRPL
1684126401,1684124964
1684126401,B07KT71MJB
1911641921,1684128870
1911641921,144630731X
1911641921,1446308103
1911641921,1861087993
1911641921,B083F8F2BZ
1911641921,0470067314
1684124964,1684126401
1684124964,1684124972
1684124964,B079Z5CRPL
1684124964,1684121914
1684124964,B07MV6K9BR
1684124964,B0774FL1CY
1405279974,0545396344
1405279974,054549284X
1405279974,0761169431
1405279974,1781576327
1405279974,1633222519
1405279974,B0863S9Z52
8448022874,1781575614
8448022874,1781576327
8448022874,1684129036
8448022874,1684128870
8448022874,1684120446
8448022874,1944515631
1782216227,1782210709
1782216227,1782211934
1782216227,1624148050
1782216227,1782216987
1782216227,605919236X
1782216227,1446302652
B074BZSV6W,B000Q7CN4I
B074BZSV6W,1908707259
B074BZSV6W,B00HYW4NLE
B074BZSV6W,B0774FL1CY
B074BZSV6W,B079C8MRQ1
B074BZSV6W,B07MV6K9BR
1440595046,1911641921
1440595046,1684128870
1440595046,1338322966
1440595046,1682982319
1440595046,125005138X
1440595046,0470067314
1641522305,605919270X
1641522305,1782217339
1641522305,1446304787
1641522305,1784945498
1641522305,0062499262
1641522305,949164324X
B0774FL1CY,B01KVCRM7K
B0774FL1CY,B07MV6K9BR
B0774FL1CY,B079Z5CRPL
B0774FL1CY,B07CHY9V4B
B0774FL1CY,1684126401
B0774FL1CY,B074BZSV6W
054549284X,0545396344
