147363749X
147363749X,0141979097,0141034645,1783962437,2081427117,8423429962,1529387159
0141979097,0241957710,0141034645,014198077X,0141015470,0140244913,014027605X
0141034645,0241957710,B0161T7T2A,014027605X,014198077X,0141979097,0141015470
1783962437,1783964138,147363749X,1783964456,1783963972,1501183915,1783963034
2081427117,1529387159,8416863482,8423429962,1783962437,147363749X,3548060412
8423429962,1529387159,0141979097,147363749X,1783962437,2081427117,8416863482
1529387159,1980987866,8423429962,1783964138,2081427117,147363749X,0141034645
0241957710,0141015470,0241959446,0141034645,014198077X,0141979097,014027605X
014198077X,014027605X,0140244913,0241957710,0141034645,0099460254,0141015470
0141015470,0141979097,0241957710,0141034645,014198077X,014027605X,0140244913
0140244913,014198077X,0241957710,0141015470,0141034645,0141979097,014027605X
014027605X,0141015470,014198077X,0140244913,0141979097,0241957710,0141034645
B0161T7T2A,0099590085,147363749X,0141979097,0141988517,0007267126,0141034645
1783964138,1846276616,1783963034,1783963972,1501183915,1783962437,1783964456
1783964456,1783963034,1783962437,1501183915,1783960604,1783963972,014026101X
1783963972,1783962437,1783960604,1501183915,1783963980,1783964456,1783963034
1501183915,1783964138,1783962437,1783964456,1783963034,1783960604,1783963972
1783963034,1783964138,1783963972,1783960604,1501183915,1783964456,1783962437
8416863482,147363749X,8423429962,1529387159,2081427117,1980987866,1783962437
3548060412,147363749X,1784703931,2081427117,1529387159
1980987866,109161170X,1717229840,147363749X,1529387159,1783962437,8416863482
0241959446,1610397215,0749927895,1570629404,0141047291,0241957710,0143117467
0099460254,0300170823,014198077X,1781256411,0099505576,0007118716,1781254176
0099590085,0141033576,8499926223,1784874027,1784708283,1784703931,1783962437
0141988517,1700111035,344231514X,1652816283,0415922224,1980341788,1786076047
0007267126,0140167722,000754247X,145161683X,0140278168,185702835X,0008334811
1846276616,071818114X,1786496453,1781318956,0008258341,1783964138,0008351775
1783960604,1901587673,1783964456,1097573702,1783963972,1501183915,1783963034
014026101X,1842125443,0140261680,1783784520,1841768057,1783964456,1848313888
1783963980,1783964456,0195374630,1783963034,1783963972,1783962437,147363749X
1784703931,0141981806,9123859431,8499926223,1784874027,1784708283,0099590085
109161170X,B0857DK5P4,0141014598,1701650762,2808019947,1912453053,0141033576
1717229840,1529387159,1980987866,147363749X
1610397215,1570629404,0241957710,0008340927,034911563X,0307407969,0241959446
0749927895,0241959446,0984358102,1589795474,1612680194,0451205367,B012HV3BL4
1570629404,028563853X,0241959446,1788164458,0712695885,1608685403,0375705104
0141047291,0141022094,0713689315,0099786400,0241959446,0143117467,1784705063
0143117467,0713689315,0141047291,0241959446,1784705063,0099786400,0141022094
0300170823,0300228813,030014332X,0141015527,1108437737,0300187793,0141015934
1781256411,1781254176,0802147801,0007118716,1474608434,0099460254,0099505576
0099505576,0224100807,014198077X,0099460254,0007118716,1781256411,1781254176
0007118716,0300170823,1781256411,014198077X,1781254176,0099505576,0099460254
1781254176,0241954304,1781256411,0007118716,0224100807,0099460254,0099505576
0141033576,109161170X,1847946240,1912453053,0007256531,0141040017,2808019947
8499926223,8499928676,0099590085,1784874027,194554094X,1784703931,1784708283
1784874027,1784708283,8499926223,1784703931,0099590085,1784872687,1784874116
1784708283,1784874027,0099590085,9123859431,147363749X,1950284492,1784703931
1700111035,344231514X,0415922224,1695864697,1099608082,1786076047,0141988517
344231514X,1652816283,1700111035,3442315530,1786076047,0141988517,0415922224
1652816283,0141988517,0415922224,1658735005,1980341788,344231514X,1786076047
0415922224,1724151444,1784871516,0141988517,041525390X,1099608082,1786076047
1980341788,1724151444,0415922224,1950284484,0141988517,1099608082,1786076047
1786076047,1099608082,0141988517,1700111035,1724151444,946398061X,0415922224
0140167722,185702835X,0008334811,0007267126,1841157465,0140264450,1409150720
000754247X,0007267126,0140167722,1841157465,0062296019,185702835X,0008334811
145161683X,1784291226,1982109661,1626814236,0007267126,0062429663,0715635611
0140278168,0007267126,0691166285,0691148198,0140146903,0241954630,0141029811
185702835X,1841157465,0007267126,1848313470,0198788606,0140167722,0099584573
0008334811,0140264450,0140167722,0007267126,0062296019,1841157465,000754247X
071818114X,1846276616,1471159450,1409345718,0718185269,0008258341,1471166821
1786496453,0007506155,1846276616,0141978791,0007492898,0008351775,0007427921
1781318956,178131716X,1781315329,1846276616,1447295277,0008351775,1781316775
0008258341,0241238986,024136826X,1787130983,1471159450,0241226147,1846276616
0008351775,1786496453,0008351783,1781318956,1846276616,1781315329,178131716X
1901587673,1780911734,B000ULQ37S,1097573702,1445653109,3740800224,1783960604
1097573702,1908847158,191303402X,190884714X,1908847107,B07SK7P7HQ,B0848B3JDV
1842125443,0140241590,0007120222,1783784520,014026101X,1783964456,0300089236
0140261680,0140262636,1848313888,1842125443,1783784520,1783964456,014026101X
1783784520,1783964456,1841957879,1842125443,014026101X,1862070504,1784706744
1841768057,014026101X,1842125443,1782002774,1783784520,1841764191,1783964456
1848313888,0140261680,014026101X,009956954X,1843547414,1783964456,1847084117
0195374630,0141031182,0141987251,1846684307,0141018666,0192893300,0199226113
0141981806,0198739834,0715647334,1250058783,0241954630,178378198X,0993211623
9123859431,1784708283,1950284492,1784703931,1784874027,0099590085,1473695988
B0857DK5P4,109161170X,0141033576
0141014598,0349113467,0241351561,0141036257,0241959594,B00IJ0X7OY,0141044802
1701650762,0141033576,109161170X
2808019947,109161170X,0141033576
1912453053,1847946240,109161170X,9123940220,1473613809,0141033576,0141040017
0008340927,9402704310,1503506703,1610397215,1471172341,0349117179,B01N8TOMI9
034911563X,0349119724,0349122350,1846683815,1408706954,0349123837,0349117179
0307407969,1610397215,0241953057,0571298206,0141031026,0521832314,0099994003
0984358102,1447286316,1612680194,0984358161,0749927895,1589795474,0091929113
1589795474,0553813641,0842382127,0553281097,1493035355,8122200257,0143115766
1612680194,0762434279,0984358102,0762460997,1612680062,B0858V3WVZ,1612680208
0451205367,1577319346,1615890424,1537558056,1612680194,1939438632,1508524351
B012HV3BL4,0091900212,0749927895,9123962755,B012HUIV9C,1612680194,0451205367
028563853X,1608685403,1788164458,1570629404,0712695885,1788164466,0375705104
1788164458,1788164466,0712695885,1608685403,1570629404,0375705104,028563853X
0712695885,0679732330,1608685403,1570629404,0375705104,1788164458,028563853X
1608685403,1570629404,028563853X,0712695885,1788164458,0375705104,1788164466
0375705104,028563853X,1608685403,0712695885,B01B271MLA,1788164466,1570629404
0141022094,1784705063,0141022108,B011DBU3L0,0141022116,0141047291,0713689315
0713689315,1786820854,1568365209,0719046181,0141047291,0713652861,0141022094
0099786400,B0161T5S8C,B0161THLWI,0307390691,B001AHA72S,1846881544,B002KOKU9K
1784705063,0141022094,0241959446,0141977515,0571324401,0141047291,0143117467
0300228813,1409324915,0552174998,0099273675,030023452X,0300187793,030014332X
030014332X,0300197187,0300136595,0714832472,0300187793,030023452X,0300228813
0141015527,0099505576,0300170823,1781256020,014198077X,1108437737,0141015934
1108437737,1781256020,1403994838,0300170823,0141015527,0521736501,0521530334
0300187793,0300136595,0415534666,030014332X,030023452X,0300228813,0415693160
0141015934,1108437737,0141015527,1781256020,0300170823,0141003960,1846684285
0802147801,1781254176,1781256411,0099505576,0099460254
1474608434,0099505576,0571338631,1781256411,1787302318,0008291535,0099460254
0224100807,1607749335,1452125341,0099505576,B07DQPNBRR,1789290732,1781254176
0241954304,0099505576,1781256411,0224100807,0099460254,1781254176,0007118716
1847946240,B00FQ48796,0349411905,0141033576,1847947433,1847941834,0552168866
0007256531,0842382127,8122200257,006225300X,0374536740,0553281097,0007354789
0141040017,0753556553,0141033576,0007256531,2744067164,1138228915,0241951224
8499928676,194554094X,1784703931,8499926223,1784708283
194554094X,8499926223,0099590085,1784703931,8499928676,1784708283
1784872687,1784874027,1784874116,1853264849,1784875686,1784872725,1784872636
1784874116,1408857162,1784875686,1853811262,1784874035,1784874027,1784872636
1950284492,1784703931,147363749X,1784708283,1784874027,0099590085,9123859431
1695864697,1652816283,1700111035,1950284484,0415922224,344231514X,0141988517
1099608082,0141988517,0415922224,1786076047,1700111035,946398061X,1724151444
3442315530,344231514X,0141988517,0415922224
1658735005,1710506431,0141988517,0415922224,1652816283
1724151444,1786076047,0141988517,1980341788,1099608082,0415922224,B07CKHNXTY
1784871516,0061253723,0006336426,0415922224,0061253715,B0092I8RDI,0813332915
041525390X,0415058449,0006530656,0415278392,0613922670,0006540279,1503250881
1950284484,1980341788,1710516186,344231514X,0141988517,1695864697,1652816283
946398061X,0415922224,162860350X,1099608082,1724151444,1786076047,0141988517
1841157465,0140167722,185702835X,1848313470,0330523627,0141007206,0007267126
0140264450,0008334811,0062296019,0007267126,1841157465,0140167722,185702835X
1409150720,1409150747,006284816X,1409175995,1407251511,1409150763,1409176029
0062296019,000754247X,046508995X,014027605X,0517548232,0007267126,1621574652
1784291226,1596913444,0099519852,1982109661,0062429663,0712657592,145161683X
1982109661,0525540431,145161683X,0062429663,1784291226,1633697622,1541788230
1626814236,145161683X,0670921602,0241958229,0753555204,1586380192,1119611393
0062429663,1596913444,1982109661,145161683X,1784291226,0712657592,3864705614
0715635611,1250058783,0715647334,0198739834,1614756392,0141981806,1605292079
0691166285,0007267126,1849046891,0330418793,1784350494,0140455078,0691174660
0691148198,0691158282,0140278168,0691166285,0141979003,1846684307,0007267126
0140146903,0241262623,0465026567,0141983213,0141029811,0140278168,0241954630
0241954630,0140278168,0140146903,0141029811,0715647334,0198739834,0141981806
0141029811,0141011114,0241954630,009928992X,0140278168,024129598X,0141014636
1848313470,185702835X,0198788606,1848319150,1848318626,1784702765,1785784978
0198788606,0552778052,B007YTD3CM,1784161926,0198788789,0198788916,0141026162
0099584573,185702835X,1471141853,0007250924,1784702765,1848313470,1784700177
1471159450,1471178935,0008258341,071818114X,0241226147,1409345718,1471166821
1409345718,0141034939,1471159450,0241238986,0241226147,071818114X,1465475850
0718185269,1471178935,1471166821,000748884X,071818114X,1426219695,0007395825
1471166821,1471178935,071818114X,0241238986,1409345718,1471159450,0241226147
0007506155,1780877579,0007427921,0500022925,1786496453,0008129363,0007492898
0141978791,0007427921,071235879X,0749579102,0007492898,0007506155,1786496453
0007492898,0008129363,1118582306,0007506155,1526468921,0007427921,1780877579
0007427921,1526468921,1780877579,0007506155,1118582306,0008129363,0007492898
178131716X,1523506482,1781316775,1781315329,1781318956,0008351775,071818114X
1781315329,1447295277,0008351775,178131716X,1523506482,1781316775,1781318956
1447295277,0008351775,0761169083,1523506482,1781315329,1781318956,0500519900
1781316775,1523506482,178131716X,0008351775,1447295277,1781315329,1781318956
0241238986,1409345718,0008258341,071235879X,071818114X,1471159450,0241226147
024136826X,0008258341,0141034939,0241226147,1409345718,024136440X,1847082548
1787130983,0749575611,1426218079,0008258341,1473691273,0749579226,B00D382YVY
0241226147,0008258341,1465475850,024135871X,0241317673,1409345718,0241301939
0008351783,0751578975,0712352996,1409184676,1788702964,0008351759,1409184714
1780911734,1860776604,1901587673,3740800224,0750964995,1912697130,0752400118
B000ULQ37S,191303402X,1097573702,B07SK7P7HQ,190884714X,1901587673,B0112HWUCA
1445653109,1901587673,190614821X,1780911734,3740800224,1860776604,1912697130
3740800224,B000ULQ37S,1912697130,190614821X,1445653109,1860776604,1901587673
1908847158,B07SK7P7HQ,1097573702,1783960604,1785315501,1908847107,190884714X
191303402X,B000ULQ37S,B07SK7P7HQ,1097573702,B07WCL2R3D,B07XRM24YD,190884714X
190884714X,1908847158,191303402X,B000ULQ37S,1908847107,1097573702,B0848B3JDV
1908847107,1908847158,B0848B3JDV,1908051728,1097573702,191303402X,190884714X
B07SK7P7HQ,1908847158,B0848B3JDV,1908051728,1097573702,191303402X,190884714X
B0848B3JDV,190884714X,0244762074,1908479930,1097573702,1908847158,1908847107
0140241590,1842125443,0141011920,0349105987,0349104840,0349106711,009954203X
0007120222,1842125443,0300089236,0141986522,0007120230,034083787X,0140241590
0300089236,1842125443,0007120222,0982373430,0140241590,0141011920,0691058423
0140262636,0140261680,1790584027,1783784520,1842125443,1783964456,014026101X
1841957879,0226020452,014026101X,1844086992,B00JYH81X8,1609422805,1783784520
1862070504,1783784520,014026101X,1783964456,1784706744,0140261680,1842125443
1784706744,1785030426,B0781Z5LV2,014026101X,0099546558,1783784520,1847920071
1782002774,1841768057,0226674339,1849088055,147281908X,1472833449,1472807227
1841764191,0340929308,1849085250,1841762822,0307700259,1843442132,1841768057
009956954X,014026101X,1848313888,0312113781,1783964456,1783783362,1783784520
1843547414,1848313888,0349140987,B017MYBTVA,0241347521,1847084117,1408827751
1847084117,1843547414,1848313888,184708141X,0812982762,014026101X,1408827751
0141031182,0141018666,0192893300,1846684307,0199226113,0195374630,024195617X
0141987251,0195374630,0307409600,0141042168,0190231483,0141977787,1846276128
1846684307,0192893300,0099302780,0195374630,0241314291,1683785045,0141979003
0141018666,0199226113,0195374630,1846684307,0141031182,1586487981,0718193660
0192893300,0141037857,0199226113,0195374630,0141982500,0674072359,1846684307
0199226113,0141018666,0195374630,0192893300,1846684307,0465089739,0141031182
0198739834,0715635611,0715647334,1250058783,0199606501,0141979240,0141981806
0715647334,0141981806,0198739834,1605292079,0715635611,0141979240,1491925612
1250058783,0715635611,1471167941,0198739834,0306812835,1408824833,0141981806
178378198X,1491925612,1911617729,1783784067,0141987391,0141981806,1471161633
0993211623,1780748485,0141981806,0198739834,099321164X,0241335205,1250058783
1473695988,0593077180,8179927938,085750357X,0553173251,0008210039,1984887262
0349113467,0241351561,1645010457,0141044802,0241959594,0141014598,0141036257
0241351561,0141036257,0141044802,0349113467,0141014598,9123951540,0241959594
0141036257,0241959594,0241351561,0141014598,0141044802,B002W1KJQ0,0349113467
